Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides IEF1_1	Peptides IEF1_2	Peptides IEF2_1	Peptides IEF2_2	Razor + unique peptides IEF1_1	Razor + unique peptides IEF1_2	Razor + unique peptides IEF2_1	Razor + unique peptides IEF2_2	Unique peptides IEF1_1	Unique peptides IEF1_2	Unique peptides IEF2_1	Unique peptides IEF2_2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Fraction 13	Fraction 14	Fraction 15	Fraction 16	Fraction 17	Fraction 18	Fraction 19	Fraction 20	Fraction 21	Fraction 22	Fraction 23	Fraction 24	Q-value	Score	Identification type IEF1_1	Identification type IEF1_2	Identification type IEF2_1	Identification type IEF2_2	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/L IEF1_1	Ratio H/L IEF1_2	Ratio H/L IEF2_1	Ratio H/L IEF2_2	Ratio H/L normalized IEF1_1	Ratio H/L normalized IEF1_2	Ratio H/L normalized IEF2_1	Ratio H/L normalized IEF2_2	Ratio H/L variability [%] IEF1_1	Ratio H/L variability [%] IEF1_2	Ratio H/L variability [%] IEF2_1	Ratio H/L variability [%] IEF2_2	Ratio H/L count IEF1_1	Ratio H/L count IEF1_2	Ratio H/L count IEF2_1	Ratio H/L count IEF2_2	Ratio H/L iso-count IEF1_1	Ratio H/L iso-count IEF1_2	Ratio H/L iso-count IEF2_1	Ratio H/L iso-count IEF2_2	Ratio H/L type IEF1_1	Ratio H/L type IEF1_2	Ratio H/L type IEF2_1	Ratio H/L type IEF2_2	Sequence coverage IEF1_1 [%]	Sequence coverage IEF1_2 [%]	Sequence coverage IEF2_1 [%]	Sequence coverage IEF2_2 [%]	Intensity	Intensity L	Intensity H	Intensity IEF1_1	Intensity L IEF1_1	Intensity H IEF1_1	Intensity IEF1_2	Intensity L IEF1_2	Intensity H IEF1_2	Intensity IEF2_1	Intensity L IEF2_1	Intensity H IEF2_1	Intensity IEF2_2	Intensity L IEF2_2	Intensity H IEF2_2	Only identified by site	Reverse	Potential contaminant	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	genename	Fastas	Human_GN	UniprotID	Normalized Ratio L/H	Normalized Ratio L/H IEF1_1	Normalized Ratio L/H IEF1_2	Normalized Ratio L/H IEF2_1	Normalized Ratio L/H IEF2_2	significant
Q8MIP0;Q5R8J7	Q8MIP0;Q5R8J7	1;1	1;1	1;1			sp|Q8MIP0|FRIH_HORSE Ferritin heavy chain OS=Equus caballus GN=FTH1 PE=2 SV=3;sp|Q5R8J7|FRIH_PONAB Ferritin heavy chain OS=Pongo abelii GN=FTH1 PE=2 SV=3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13.2	13.2	13.2	21.269000000000002	182	182;183	6.0						8.0																			0.0013997999999999999	6.2094	By MS/MS	By MS/MS	By matching	By matching	0.49551999999999996	0.69223	4.4105	8	0	Median	0.49865	0.51067	0.46883	0.50752	0.68914	0.6948300000000001	0.66942	0.7359600000000001	3.6535	3.5513	0.71768	3.8929	2	2	2	2	0	0	0	0	Median	Median	Median	Median	13.2	13.2	13.2	13.2	497600000	311820000	185780000	148700000	89561000	59140000	207930000	134410000	73513000	67795000	42283000	25512000	73172000	45558000	27614000				11327	True	11932	75243;75244;75245;75246;75247;75248;75249;75250	63238;63239;63240;63241	63239				['sp|Q8MIP0|FRIH_HORSE Ferritin heavy chain OS=Equus caballus GN=FTH1 PE=2 SV=3', 'sp|Q5R8J7|FRIH_PONAB Ferritin heavy chain OS=Pongo abelii GN=FTH1 PE=2 SV=3']		Q8MIP0	0.5208758347941731	0.5524160839080818	0.5182594556193836	0.5277022346214784	0.40793477145098067	True
Q5R8Y6;Q99805;Q66HG5;P58021	Q5R8Y6;Q99805;Q66HG5	3;3;2;1	3;3;2;1	3;3;2;1	Transmembrane 9 superfamily member 2	TM9SF2;Tm9sf2	sp|Q5R8Y6|TM9S2_PONAB Transmembrane 9 superfamily member 2 OS=Pongo abelii GN=TM9SF2 PE=2 SV=1;sp|Q99805|TM9S2_HUMAN Transmembrane 9 superfamily member 2 OS=Homo sapiens GN=TM9SF2 PE=1 SV=1;sp|Q66HG5|TM9S2_RAT Transmembrane 9 superfamily member 2 OS=Rattus	4	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	6.3	6.3	6.3	75.816	663	663;663;663;662	13.6			1.0												2.0		1.0	1.0							0.0	17.424	By MS/MS	By matching	By MS/MS	By MS/MS	0.90209	1.2433	31.965999999999998	4	0	Leave out requantified													1	1	1	1	0	0	0	0	Median	Median	Median	Median	2.9	2.9	1.4	2.1	406560000	236920000	169640000	86244000	45459000	40785000	217670000	116120000	101560000	15125000	8169200	6956100	87520000	67179000	20341000				469;8361;17298	True;True;True	489;8801;18499	3641;55413;55414;112713;112714	3042;46930;94853;94854	3042;46930;94853			TM9SF2	['sp|Q5R8Y6|TM9S2_PONAB Transmembrane 9 superfamily member 2 OS=Pongo abelii GN=TM9SF2 PE=2 SV=1', 'sp|Q99805|TM9S2_HUMAN Transmembrane 9 superfamily member 2 OS=Homo sapiens GN=TM9SF2 PE=1 SV=1', 'sp|Q66HG5|TM9S2_RAT Transmembrane 9 superfamily member 2 OS=Rattus']	TM9SF2	Q5R8Y6	-0.3434522529962785					True
Q5R930;Q8IXL7;Q8BU85	Q5R930;Q8IXL7;Q8BU85	1;1;1	1;1;1	1;1;1	Methionine-R-sulfoxide reductase B3;Methionine-R-sulfoxide reductase B3, mitochondrial	MSRB3;Msrb3	sp|Q5R930|MSRB3_PONAB Methionine-R-sulfoxide reductase B3 OS=Pongo abelii GN=MSRB3 PE=2 SV=2;sp|Q8IXL7|MSRB3_HUMAN Methionine-R-sulfoxide reductase B3 OS=Homo sapiens GN=MSRB3 PE=1 SV=2;sp|Q8BU85|MSRB3_MOUSE Methionine-R-sulfoxide reductase B3, mitochondri	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13.2	13.2	13.2	20.489	190	190;192;253	22.0																						6.0			0.0014025	6.2201	By MS/MS	By MS/MS	By matching	By matching	1.0472	1.5269	18.305	6	0	Median		0.95273	1.1765			1.3387	1.7804			0.45121999999999995	3.5803		1	2	2	1	0	0	0	0	Median	Median	Median	Median	13.2	13.2	13.2	13.2	275870000	130940000	144920000	63747000	32373000	31375000	172770000	82590000	90178000	20148000	8080900	12067000	19204000	7900200	11304000				21152	True	22597	136867;136868;136869;136870;136871;136872	116254;116255;116256	116255			MSRB3	['sp|Q5R930|MSRB3_PONAB Methionine-R-sulfoxide reductase B3 OS=Pongo abelii GN=MSRB3 PE=2 SV=2', 'sp|Q8IXL7|MSRB3_HUMAN Methionine-R-sulfoxide reductase B3 OS=Homo sapiens GN=MSRB3 PE=1 SV=2', 'sp|Q8BU85|MSRB3_MOUSE Methionine-R-sulfoxide reductase B3, mitochondri']	MSRB3	Q5R930	-0.5586459743637671		-0.3814166537719134	-0.7996622913869477		True
Q5R9A1;Q8TB61	Q5R9A1;Q8TB61	1;1	1;1	1;1	Adenosine 3-phospho 5-phosphosulfate transporter 1	SLC35B2	sp|Q5R9A1|S35B2_PONAB Adenosine 3-phospho 5-phosphosulfate transporter 1 OS=Pongo abelii GN=SLC35B2 PE=2 SV=2;sp|Q8TB61|S35B2_HUMAN Adenosine 3-phospho 5-phosphosulfate transporter 1 OS=Homo sapiens GN=SLC35B2 PE=1 SV=1	2	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	2.3	2.3	2.3	47.542	432	432;432	2.0		2.0																							0.0056386000000000006	5.9722	By matching	By MS/MS			0.88544	1.2291	3.5818	2	0	Median													1	1	0	0	0	0	0	0	Median	Median	Median	Median	2.3	2.3	0.0	0.0	66083000	34408000	31675000	34132000	17421000	16711000	31951000	16987000	14964000	0	0	0	0	0	0				1664	True	1754	12849;12850	11027	11027			SLC35B2	['sp|Q5R9A1|S35B2_PONAB Adenosine 3-phospho 5-phosphosulfate transporter 1 OS=Pongo abelii GN=SLC35B2 PE=2 SV=2', 'sp|Q8TB61|S35B2_HUMAN Adenosine 3-phospho 5-phosphosulfate transporter 1 OS=Homo sapiens GN=SLC35B2 PE=1 SV=1']	SLC35B2	Q5R9A1	-0.3165754261411187					True
Q5RAB4	Q5RAB4	12	1	1			sp|Q5RAB4|G3P_PONAB Glyceraldehyde-3-phosphate dehydrogenase OS=Pongo abelii GN=GAPDH PE=2 SV=3	1	12	1	1	12	12	10	12	1	1	1	1	1	1	1	1	43.3	5.1	5.1	35.993	335	335	18.2														2.0	1.0	2.0	1.0	6.0	4.0	5.0	2.0				0.0	6.6606	By MS/MS	By MS/MS	By MS/MS	By matching	0.56152	0.8346100000000001	16.377	19	0	Median	0.5602699999999999	0.58029	0.65818	0.5231399999999999	0.78068	0.8048	0.99359	0.79513	15.615	14.145	12.606	6.8541	7	6	4	2	0	0	0	0	Median	Median	Median	Median	43.3	43.3	35.5	43.3	8337100000	5103700000	3233400000	3992000000	2451200000	1540800000	3754700000	2283700000	1471000000	558390000	348120000	210270000	31970000	20610000	11360000				6198;9205;12232;13757;13758;17474;21459;21463;22056;22057;22446;22683	False;False;False;False;False;False;False;False;False;True;False;False	6494;9681;9682;12883;14490;14491;18686;18687;18688;22918;22919;22924;22925;22926;23562;23563;23964;23965;23966;24211	40848;40849;40850;40851;40852;40853;61130;61131;61132;61133;61134;61135;61136;61137;61138;61139;61140;61141;61142;61143;61144;61145;81236;81237;81238;81239;81240;81241;81242;81243;81244;81245;81246;81247;81248;81249;81250;81251;81252;81253;81254;81255;81256;81257;81258;81259;81260;81261;81262;81263;81264;81265;81266;81267;81268;81269;91347;91348;91349;91350;91351;91352;91353;91354;91355;91356;91357;91358;91359;91360;91361;91362;91363;91364;91365;91366;91367;91368;91369;91370;91371;91372;91373;91374;91375;91376;91377;91378;91379;91380;91381;91382;91383;91384;91385;91386;91387;91388;91389;91390;91391;91392;91393;91394;91395;91396;91397;91398;91399;91400;91401;91402;91403;91404;91405;91406;91407;91408;91409;91410;91411;91412;91413;91414;91415;91416;91417;91418;91419;91420;91421;91422;91423;91424;91425;91426;91427;91428;91429;91430;91431;91432;91433;91434;91435;91436;91437;91438;91439;91440;91441;91442;91443;91444;91445;91446;91447;91448;91449;91450;91451;91452;91453;91454;91455;91456;113734;113735;113736;113737;113738;113739;113740;113741;113742;113743;113744;113745;113746;113747;113748;113749;113750;113751;113752;113753;113754;113755;113756;113757;113758;113759;113760;113761;113762;113763;138991;138992;138993;138994;138995;138996;138997;138998;138999;139000;139001;139002;139003;139004;139005;139006;139007;139008;139009;139010;139011;139012;139013;139014;139015;139016;139017;139018;139019;139020;139021;139022;139023;139024;139025;139026;139027;139028;139029;139030;139031;139032;139033;139034;139035;139036;139037;139038;139039;139040;139041;139042;139043;139044;139045;139046;139047;139048;139049;139050;139051;139052;139053;139054;139055;139056;139057;139058;139059;139060;139061;139062;139063;139064;139065;139066;139067;139068;139069;139070;139071;139072;139073;139074;139075;139076;139077;139078;139079;139080;139081;139082;139083;139084;139085;139086;139087;139088;139089;139090;139091;139092;139093;139094;139095;139096;139097;139098;139099;139100;139101;139102;139103;139104;139105;139106;139107;139108;139109;139110;139111;139112;139113;139114;139115;139116;139135;139136;139137;139138;139139;139140;139141;139142;139143;139144;139145;139146;139147;139148;139149;139150;139151;139152;139153;139154;139155;139156;139157;139158;139159;139160;139161;139162;139163;139164;139165;139166;139167;139168;143609;143610;143611;143612;143613;143614;143615;143616;143617;143618;143619;143620;143621;143622;143623;143624;143625;143626;143627;143628;143629;143630;143631;143632;143633;143634;143635;143636;143637;143638;143639;143640;143641;143642;143643;143644;143645;143646;143647;143648;143649;143650;143651;143652;143653;143654;143655;143656;143657;143658;143659;143660;143661;143662;143663;143664;143665;143666;143667;143668;143669;143670;143671;143672;143673;143674;143675;143676;143677;143678;143679;143680;143681;143682;143683;143684;143685;143686;143687;143688;143689;143690;143691;143692;143693;143694;143695;143696;143697;143698;143699;143700;143701;143702;143703;143704;143705;143706;143707;143708;143709;143710;143711;143712;143713;143714;143715;143716;143717;143718;143719;143720;143721;143722;143723;143724;146232;146233;146234;146235;146236;146237;146238;146239;146240;146241;146242;146243;146244;146245;146246;146247;146248;146249;146250;146251;146252;146253;146254;146255;146256;146257;146258;146259;146260;146261;146262;146263;146264;146265;146266;146267;146268;146269;146270;146271;146272;146273;146274;146275;146276;146277;146278;146279;146280;146281;146282;146283;146284;146285;146286;146287;146288;146289;146290;146291;146292;146293;146294;146295;146296;146297;146298;146299;146300;146301;146302;146303;146304;147648;147649;147650;147651;147652;147653;147654;147655;147656	34767;34768;34769;51742;51743;51744;51745;51746;51747;51748;51749;51750;51751;51752;51753;51754;68138;68139;68140;68141;68142;68143;68144;68145;68146;68147;68148;68149;68150;68151;68152;68153;68154;68155;68156;68157;68158;68159;68160;68161;68162;68163;68164;68165;68166;68167;68168;68169;68170;68171;68172;68173;68174;68175;68176;68177;68178;68179;68180;68181;68182;68183;68184;76469;76470;76471;76472;76473;76474;76475;76476;76477;76478;76479;76480;76481;76482;76483;76484;76485;76486;76487;76488;76489;76490;76491;76492;76493;76494;76495;76496;76497;76498;76499;76500;76501;76502;76503;76504;76505;76506;76507;76508;76509;76510;76511;76512;76513;76514;76515;76516;76517;76518;76519;76520;76521;76522;76523;76524;76525;76526;76527;76528;76529;76530;76531;76532;76533;76534;76535;76536;76537;76538;76539;76540;76541;76542;76543;76544;76545;76546;76547;76548;76549;76550;76551;76552;76553;76554;76555;76556;76557;76558;76559;76560;76561;76562;76563;76564;76565;76566;76567;76568;76569;76570;76571;76572;76573;76574;76575;76576;76577;76578;76579;76580;76581;95640;95641;95642;95643;95644;95645;95646;95647;95648;95649;95650;95651;95652;95653;95654;95655;95656;95657;95658;95659;95660;95661;95662;95663;95664;95665;95666;95667;118007;118008;118009;118010;118011;118012;118013;118014;118015;118016;118017;118018;118019;118020;118021;118022;118023;118024;118025;118026;118027;118028;118029;118030;118031;118032;118033;118034;118035;118036;118037;118038;118039;118040;118041;118042;118043;118044;118045;118046;118047;118048;118049;118050;118051;118052;118053;118054;118055;118056;118057;118058;118059;118060;118061;118062;118063;118064;118065;118066;118067;118068;118069;118070;118071;118072;118073;118074;118075;118076;118077;118078;118079;118080;118081;118082;118083;118084;118085;118086;118087;118088;118089;118090;118091;118092;118093;118094;118095;118096;118097;118098;118099;118100;118101;118102;118103;118104;118105;118106;118107;118108;118109;118110;118111;118112;118113;118114;118115;118126;118127;118128;118129;118130;118131;118132;118133;118134;118135;118136;118137;118138;118139;118140;118141;118142;118143;118144;118145;118146;118147;118148;118149;118150;118151;118152;118153;121884;121885;121886;121887;121888;121889;121890;121891;121892;121893;121894;121895;121896;121897;121898;121899;121900;121901;121902;121903;121904;121905;121906;121907;121908;121909;121910;121911;121912;121913;121914;121915;121916;121917;121918;121919;121920;121921;121922;121923;121924;121925;121926;121927;121928;121929;121930;121931;121932;121933;121934;121935;121936;121937;121938;121939;121940;121941;121942;121943;121944;121945;121946;121947;121948;121949;121950;121951;121952;121953;121954;121955;121956;121957;121958;121959;121960;121961;121962;121963;121964;121965;121966;121967;121968;121969;121970;121971;121972;121973;121974;121975;121976;121977;121978;121979;121980;121981;121982;121983;121984;121985;121986;121987;121988;121989;121990;121991;121992;121993;121994;121995;121996;121997;121998;121999;122000;122001;122002;122003;122004;122005;122006;122007;122008;122009;122010;122011;122012;122013;122014;122015;122016;122017;122018;122019;122020;122021;122022;122023;122024;122025;122026;124061;124062;124063;124064;124065;124066;124067;124068;124069;124070;124071;124072;124073;124074;124075;124076;124077;124078;124079;124080;124081;124082;124083;124084;124085;124086;124087;124088;124089;124090;124091;124092;124093;124094;124095;124096;124097;124098;124099;124100;124101;124102;124103;124104;124105;124106;124107;124108;124109;124110;124111;124112;124113;124114;124115;124116;124117;124118;124119;124120;124121;124122;124123;124124;124125;124126;124127;124128;124129;124130;124131;124132;124133;124134;124135;124136;124137;124138;124139;124140;124141;124142;124143;124144;124145;124146;124147;124148;124149;124150;124151;125266;125267;125268;125269;125270;125271;125272;125273;125274;125275;125276;125277	34768;51745;68154;76479;76537;95654;118067;118139;121910;122016;124133;125268	382;383;384;385;386;387	105;130;133;175;328;331		['sp|Q5RAB4|G3P_PONAB Glyceraldehyde-3-phosphate dehydrogenase OS=Pongo abelii GN=GAPDH PE=2 SV=3']		Q5RAB4	0.3404817140300048	0.38432138942946314	0.33387669660331865	0.03828493585500107	0.3642023629358622	True
Q5RAF0;Q99MY2;Q8R2U6;Q9NZJ9	Q5RAF0;Q99MY2;Q8R2U6;Q9NZJ9	1;1;1;1	1;1;1;1	1;1;1;1	Diphosphoinositol polyphosphate phosphohydrolase 2	Nudt4;NUDT4	sp|Q5RAF0|NUDT4_PONAB Diphosphoinositol polyphosphate phosphohydrolase 2 OS=Pongo abelii GN=NUDT4 PE=2 SV=1;sp|Q99MY2|NUDT4_RAT Diphosphoinositol polyphosphate phosphohydrolase 2 OS=Rattus norvegicus GN=Nudt4 PE=2 SV=1;sp|Q8R2U6|NUDT4_MOUSE Diphosphoinosit	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.1	6.1	6.1	20.305999999999997	180	180;179;179;180	18.1																	2.0	5.0	3.0						0.00057504	6.4458	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0.5448	0.8081699999999999	4.5698	6	0	Median			0.53894				0.80501				5.1658		1	1	3	1	0	0	0	0	Median	Median	Median	Median	6.1	6.1	6.1	6.1	466130000	287150000	178990000	116730000	68222000	48503000	177730000	102010000	75717000	109880000	69920000	39961000	61801000	46995000	14805000				12491	True	13156	83104;83105;83106;83107;83108;83109;83110;83111;83112;83113	69744;69745;69746;69747;69748;69749;69750	69746			Nudt4	['sp|Q5RAF0|NUDT4_PONAB Diphosphoinositol polyphosphate phosphohydrolase 2 OS=Pongo abelii GN=NUDT4 PE=2 SV=1', 'sp|Q99MY2|NUDT4_RAT Diphosphoinositol polyphosphate phosphohydrolase 2 OS=Rattus norvegicus GN=Nudt4 PE=2 SV=1', 'sp|Q8R2U6|NUDT4_MOUSE Diphosphoinosit']	NUDT4	Q5RAF0	0.38409241956940265			0.3266424568746711		True
Q5RAV8;Q5BLZ2	Q5RAV8	9;2	2;2	2;2			sp|Q5RAV8|PLIN3_PONAB Perilipin-3 OS=Pongo abelii GN=PLIN3 PE=2 SV=1	2	9	2	2	8	8	6	4	2	2	1	0	2	2	1	0	34.6	4.8	4.8	46.989	434	434;439	8.18			2.0	5.0												4.0									0.0	12.627	By MS/MS	By MS/MS	By matching	By matching	0.88271	1.2325	8.6143	11	0	Leave out requantified	0.90086	0.84031			1.2507	1.1738			13.148	1.7086			5	5	1	0	0	0	0	0	Leave out requantified	Leave out requantified	Median	Median	30.6	30.6	23.5	15.7	361190000	193080000	168100000	192580000	102790000	89788000	168380000	90172000	78205000	228270	120010	108260	0	0	0				1532;2785;8626;11636;11993;16439;16589;17356;22236	True;False;False;False;False;False;True;False;False	1617;1618;2932;9077;12250;12627;12628;17597;17760;17761;18562;23746;23747	11749;11750;11751;11752;11753;11754;11755;20773;20774;20775;20776;20777;20778;20779;20780;20781;20782;20783;20784;20785;20786;20787;20788;20789;20790;20791;20792;20793;20794;20795;20796;20797;20798;20799;20800;20801;20802;20803;20804;20805;20806;20807;20808;20809;20810;20811;20812;20813;20814;57041;57042;57043;77051;77052;77053;77054;77055;77056;77057;77058;79681;79682;79683;79684;79685;79686;79687;79688;79689;79690;79691;79692;79693;79694;79695;79696;79697;79698;79699;79700;79701;79702;79703;108311;108312;109113;109114;109115;109116;113132;113133;144869;144870;144871;144872;144873;144874;144875;144876;144877;144878;144879;144880;144881;144882;144883;144884;144885;144886;144887;144888;144889;144890;144891;144892;144893;144894;144895;144896;144897;144898;144899;144900;144901;144902;144903;144904;144905;144906;144907;144908;144909;144910	10005;10006;10007;17733;17734;17735;17736;17737;17738;17739;17740;17741;17742;17743;17744;17745;17746;17747;17748;17749;17750;17751;17752;48366;48367;48368;64779;64780;64781;64782;64783;64784;64785;64786;64787;67008;67009;67010;67011;91338;91339;92015;92016;92017;92018;95157;122990;122991;122992;122993;122994;122995;122996;122997;122998;122999;123000;123001;123002;123003;123004;123005;123006;123007;123008;123009;123010;123011;123012;123013;123014;123015;123016;123017;123018;123019	10007;17744;48368;64780;67009;91339;92015;95157;122991	257;258;1577	135;184;279		['sp|Q5RAV8|PLIN3_PONAB Perilipin-3 OS=Pongo abelii GN=PLIN3 PE=2 SV=1']		Q5RAV8	-0.31212041882688213	-0.30085928439337856	-0.20027088875348042			True
Q5RB77;Q9H2J4;Q8BVF2;Q4KLJ8;Q0VCW8	Q5RB77;Q9H2J4	5;5;2;2;1	5;5;2;2;1	5;5;2;2;1	Phosducin-like protein 3	PDCL3	sp|Q5RB77|PDCL3_PONAB Phosducin-like protein 3 OS=Pongo abelii GN=PDCL3 PE=2 SV=1;sp|Q9H2J4|PDCL3_HUMAN Phosducin-like protein 3 OS=Homo sapiens GN=PDCL3 PE=1 SV=1	5	5	5	5	5	5	3	2	5	5	3	2	5	5	3	2	28.5	28.5	28.5	27.572	239	239;239;240;240;240	12.2	2.0	1.0	4.0			2.0	2.0						1.0		2.0	2.0	6.0	5.0	3.0						0.0	29.42	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0.5211399999999999	0.7468899999999999	14.008	29	0	Leave out requantified	0.5351199999999999	0.5692699999999999	0.4937	0.5211399999999999	0.74038	0.7884399999999999	0.72621	0.76058	11.138	17.738	11.550999999999998	34.863	10	11	5	3	0	0	0	0	Leave out requantified	Leave out requantified	Leave out requantified	Median	28.5	28.5	14.6	9.2	1274500000	782330000	492140000	481800000	310030000	171770000	589940000	347910000	242030000	97161000	60351000	36810000	105570000	64044000	41526000				925;1550;4287;5434;10793	True;True;True;True;True	979;1636;4500;5691;11369	6939;6940;6941;6942;6943;6944;6945;6946;6947;6948;6949;6950;6951;11936;11937;11938;11939;30308;30309;36767;36768;36769;36770;36771;71634;71635;71636;71637;71638;71639	5806;5807;5808;5809;5810;5811;5812;5813;5814;5815;5816;10152;25795;25796;31275;60433;60434	5807;10152;25796;31275;60433			PDCL3	['sp|Q5RB77|PDCL3_PONAB Phosducin-like protein 3 OS=Pongo abelii GN=PDCL3 PE=2 SV=1', 'sp|Q9H2J4|PDCL3_HUMAN Phosducin-like protein 3 OS=Homo sapiens GN=PDCL3 PE=1 SV=1']	PDCL3	Q5RB77	0.4481481301209414	0.45058118369936473	0.3615376910428889	0.4531324789836155	0.3697284548070645	True
Q5RBT2;Q9ULA0;Q2HJH1	Q5RBT2;Q9ULA0	3;3;1	3;3;1	3;3;1	Aspartyl aminopeptidase	DNPEP	sp|Q5RBT2|DNPEP_PONAB Aspartyl aminopeptidase OS=Pongo abelii GN=DNPEP PE=2 SV=1;sp|Q9ULA0|DNPEP_HUMAN Aspartyl aminopeptidase OS=Homo sapiens GN=DNPEP PE=1 SV=1	3	3	3	3	2	1	1	1	2	1	1	1	2	1	1	1	11.9	11.9	11.9	52.013999999999996	471	471;475;471	10.8			2.0													3.0									0.0	17.867	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0.87979	1.2398	29.325	4	0	Leave out requantified													1	1	1	1	0	0	0	0	Median	Median	Median	Median	9.3	5.9	2.5	2.5	127930000	61024000	66906000	26079000	14720000	11360000	20814000	10691000	10123000	33632000	14865000	18767000	47405000	20748000	26657000				4519;15107;22803	True;True;True	4736;16167;24336	31550;100791;100792;148304;148305	26852;84768;125847;125848	26852;84768;125847			DNPEP	['sp|Q5RBT2|DNPEP_PONAB Aspartyl aminopeptidase OS=Pongo abelii GN=DNPEP PE=2 SV=1', 'sp|Q9ULA0|DNPEP_HUMAN Aspartyl aminopeptidase OS=Homo sapiens GN=DNPEP PE=1 SV=1']	DNPEP	Q5RBT2	-0.3073400802468141					True
Q5RC03;Q96AB3	Q5RC03;Q96AB3	1;1	1;1	1;1	Isochorismatase domain-containing protein 2, mitochondrial	ISOC2	sp|Q5RC03|ISOC2_PONAB Isochorismatase domain-containing protein 2, mitochondrial OS=Pongo abelii GN=ISOC2 PE=2 SV=1;sp|Q96AB3|ISOC2_HUMAN Isochorismatase domain-containing protein 2, mitochondrial OS=Homo sapiens GN=ISOC2 PE=1 SV=1	2	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	11.2	11.2	11.2	22.320999999999998	205	205;205	15.2														1.0	2.0	2.0									0.006926399999999999	5.8824	By matching	By MS/MS			0.94271	1.2734	9.0032	5	0	Median	0.9733299999999999	0.89851			1.3283	1.2118			8.814	7.0016			3	2	0	0	0	0	0	0	Median	Median	Median	Median	11.2	11.2	0.0	0.0	369710000	187880000	181830000	107350000	49677000	57677000	262360000	138200000	124160000	0	0	0	0	0	0				12184	True	12830	80941;80942;80943;80944;80945	67913	67913			ISOC2	['sp|Q5RC03|ISOC2_PONAB Isochorismatase domain-containing protein 2, mitochondrial OS=Pongo abelii GN=ISOC2 PE=2 SV=1', 'sp|Q96AB3|ISOC2_HUMAN Isochorismatase domain-containing protein 2, mitochondrial OS=Homo sapiens GN=ISOC2 PE=1 SV=1']	ISOC2	Q5RC03	-0.406994908948837	-0.4124853884497086	-0.2968837962647579			True
Q5RCA7;Q7Z6B0;Q9D8L5;Q6AY97	Q5RCA7;Q7Z6B0;Q9D8L5;Q6AY97	1;1;1;1	1;1;1;1	1;1;1;1	Coiled-coil domain-containing protein 91	CCDC91;Ccdc91	sp|Q5RCA7|CCD91_PONAB Coiled-coil domain-containing protein 91 OS=Pongo abelii GN=CCDC91 PE=2 SV=1;sp|Q7Z6B0|CCD91_HUMAN Coiled-coil domain-containing protein 91 OS=Homo sapiens GN=CCDC91 PE=1 SV=2;sp|Q9D8L5|CCD91_MOUSE Coiled-coil domain-containing protei	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.5	3.5	3.5	46.028999999999996	405	405;441;442;442	14.8														1.0	4.0										0.006313399999999999	5.909	By MS/MS	By MS/MS	By matching	By matching	0.41636999999999996	0.57102	18.131	5	0	Median	0.4104				0.55597				3.7760000000000002				2	1	1	1	0	0	0	0	Median	Median	Median	Median	3.5	3.5	3.5	3.5	102230000	71118000	31111000	56125000	39496000	16629000	36447000	25364000	11083000	4600600	2893800	1706700	5056100	3364800	1691300				18466	True	19735	119392;119393;119394;119395;119396	100805;100806	100805			CCDC91	['sp|Q5RCA7|CCD91_PONAB Coiled-coil domain-containing protein 91 OS=Pongo abelii GN=CCDC91 PE=2 SV=1', 'sp|Q7Z6B0|CCD91_HUMAN Coiled-coil domain-containing protein 91 OS=Homo sapiens GN=CCDC91 PE=1 SV=2', 'sp|Q9D8L5|CCD91_MOUSE Coiled-coil domain-containing protei']	CCDC91	Q5RCA7	0.7719529985913989	0.8334129031319214				True
